CVEGEO	pop
0900700011176	2180
0900700011180	2051
0900700011195	3664
0900700011208	991
0900700011227	5183
0900700011246	4327
0900700011250	3051
0900700011265	3915
090070001127A	2174
0900700011284	1379
0900700011299	3461
0900700011301	4045
0900700011316	3355
0900700011335	0
090070001134A	4839
0900700011354	5489
0900700011369	6296
0900700011388	5484
090070001141A	4046
0900700011424	2881
0900700011439	2585
0900700011443	1973
0900700011458	1726
0900700011462	2160
0900700011477	2157
0900700011481	2435
0900700011496	2524
0900700011509	4535
0900700011513	5064
0900700011566	9689
0900700011585	0
090070001159A	6649
0900700011621	4393
0900700011636	2883
0900700011640	4166
0900700011655	2448
090070001166A	3498
0900700011674	3237
0900700011689	2788
0900700011693	2012
0900700011706	7319
0900700011710	7600
0900700011759	3567
0900700011763	6474
0900700011778	6931
0900700011814	3694
0900700011833	3848
0900700011848	3531
0900700011852	5424
0900700011867	11278
0900700011890	5546
0900700011918	4953
0900700011941	4248
0900700011960	3765
0900700011975	3499
090070001198A	6035
0900700011994	13946
0900700012047	9950
0900700012051	11206
0900700012070	4041
0900700012085	5799
090070001209A	3734
0900700012102	3577
0900700012117	3108
0900700012121	146
0900700012140	7841
0900700012155	3769
090070001216A	3673
0900700012174	2349
0900700012189	2349
0900700012193	2575
0900700012206	1638
0900700012371	1682
0900700012386	3610
0900700012390	3965
0900700012403	293
0900700012437	5076
0900700012441	4457
0900700012456	4606
0900700012460	4473
0900700012475	68
0900700012494	1941
0900700012507	2181
0900700012511	996
0900700012526	1056
0900700012530	10096
0900700012545	6946
090070001255A	4901
0900700012564	6800
0900700012579	4417
0900700012600	4667
0900700012615	7690
090070001262A	5432
0900700012634	4200
0900700012649	4309
0900700012653	3427
0900700012668	3460
0900700012672	1034
0900700012687	4656
0900700012691	7217
0900700012704	5016
0900700012719	4678
0900700012723	3252
0900700012738	6698
0900700012757	5483
0900700012776	7954
0900700012780	6872
0900700012795	4830
0900700012808	4320
0900700012812	3581
0900700012831	4795
0900700012846	4936
0900700012850	3639
090070001287A	2859
0900700012884	3464
0900700012899	6559
0900700012901	7668
0900700012920	5442
0900700012935	5663
090070001294A	3012
0900700012954	1974
0900700012969	2472
0900700012973	3752
0900700012988	7510
0900700013026	2493
0900700013030	5682
0900700013045	6787
090070001305A	6494
0900700013064	7629
0900700013079	6741
0900700013083	5621
0900700013100	5076
0900700013115	5980
0900700013134	1927
0900700013149	3862
0900700013153	3560
0900700013204	6595
0900700013219	7613
0900700013223	7231
0900700013238	6000
0900700013242	8092
0900700013257	4049
0900700013276	6422
0900700013295	5190
0900700013327	7178
0900700013346	6680
0900700013365	2467
090070001337A	7522
0900700013401	7248
0900700013420	4302
0900700013488	4965
0900700013492	5625
0900700013505	5709
090070001351A	5705
0900700013539	4545
0900700013558	1463
0900700013562	1809
0900700013577	2169
0900700013581	3942
0900700013596	4594
0900700013613	1441
0900700013628	1158
0900700013632	6682
0900700013647	2443
0900700013651	2692
0900700013666	1770
0900700013670	4143
090070001369A	2858
0900700013702	2668
0900700013717	2261
0900700013721	4549
0900700013740	4482
0900700013755	3456
090070001376A	1613
0900700013774	3474
0900700013789	3719
0900700013793	4417
0900700013806	2080
0900700013810	5245
0900700013825	3400
090070001383A	3575
0900700013844	1550
0900700013859	2090
0900700013863	4153
0900700013897	3937
090070001390A	4006
0900700013914	5355
0900700013967	3638
0900700013971	4809
0900700013986	2232
0900700013990	3618
090070001401A	2883
0900700014024	8391
0900700014039	5385
0900700014043	4417
0900700014058	3227
0900700014062	2990
0900700014077	4751
0900700014081	5245
0900700014096	6341
0900700014109	7678
0900700014113	2033
0900700014128	1861
0900700014147	508
0900700014151	1449
0900700014166	2650
0900700014170	4478
0900700014185	3902
090070001419A	3319
0900700014202	3513
0900700014217	3246
0900700014236	8000
0900700014240	5046
090070001426A	5157
0900700014274	6175
0900700014289	3047
0900700014293	5256
0900700014306	1814
0900700014310	2911
0900700014325	1681
090070001433A	4019
0900700014344	2790
0900700014359	2616
0900700014363	6175
0900700014382	2196
0900700014397	1640
090070001440A	1408
0900700014414	8028
0900700014429	2049
0900700014433	3751
0900700014448	2475
0900700014452	1960
0900700014467	2193
0900700014471	2274
0900700014503	4051
0900700014522	749
0900700014537	829
0900700014541	1011
0900700014556	1063
0900700014560	969
0900700014575	528
0900700014594	1164
0900700014611	751
0900700014645	1184
090070001465A	2794
0900700014664	3439
0900700014679	440
0900700014683	2771
0900700014698	3320
0900700014715	32
090070001472A	5525
0900700014734	11587
0900700014749	6128
0900700014768	3740
0900700014772	4280
0900700014791	2135
0900700014804	2676
0900700014838	1560
0900700014842	1895
0900700014857	5508
0900700014861	3584
0900700014876	5532
0900700014880	5581
0900700014895	3426
0900700014908	5488
0900700014912	6803
0900700014927	6812
0900700014931	5485
0900700014946	5350
0900700014965	4114
090070001497A	1927
0900700014984	4002
0900700014999	3431
0900700015003	3643
0900700015018	2989
0900700015037	2646
0900700015041	3291
0900700015056	806
0900700015060	5931
0900700015075	3792
090070001508A	3945
0900700015094	1516
0900700015107	4853
0900700015111	7653
0900700015126	4853
0900700015130	2592
0900700015145	4478
090070001515A	1634
0900700015179	1573
0900700015183	3932
0900700015198	5541
0900700015200	4699
0900700015215	5858
090070001522A	2314
0900700015249	3208
0900700015253	4458
0900700015268	5103
0900700015272	3347
0900700015287	2360
0900700015291	3411
0900700015304	5300
0900700015319	3414
0900700015323	3240
0900700015338	6974
0900700015342	5210
0900700015357	3042
0900700015361	2123
0900700015376	961
0900700015380	8787
0900700015395	3565
0900700015408	2285
0900700015412	2677
0900700015427	4283
0900700015431	2463
0900700015446	4124
0900700015450	3458
0900700015465	1777
090070001547A	3413
0900700015484	4151
0900700015499	4474
0900700015501	6014
0900700015516	4913
0900700015520	3557
0900700015535	4112
090070001554A	2658
0900700015554	2894
0900700015569	4114
0900700015573	3451
0900700015588	4157
0900700015592	1833
0900700015605	4180
090070001561A	1261
0900700015624	3644
0900700015639	1737
0900700015643	836
0900700015658	7959
0900700015662	2312
0900700015677	5416
0900700015681	6838
0900700015696	1765
0900700015709	2911
0900700015713	3338
0900700015728	1591
0900700015732	2692
0900700015747	1979
0900700015751	1984
0900700015766	2047
0900700015770	1531
0900700015785	500
090070001579A	364
0900700015802	463
0900700015817	504
0900700015821	468
0900700015836	492
0900700015840	755
0900700015855	560
090070001586A	2523
0900700015874	1628
0900700015889	2195
0900700015893	5778
0900700015906	3780
0900700015910	3698
0900700015925	3653
090070001593A	3627
0900800010014	1704
0900800010029	1293
0900800010033	594
0900800010048	2569
0900800010052	2382
0900800010067	771
0900800010071	1074
0900800010086	3234
0900800010090	6182
0900800010103	5677
0900800010118	5588
0900800010122	1839
0900800010137	7781
0900800010141	4742
0900800010156	3779
0900800010160	4021
0900800010175	1415
